Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_26_141,VGND,li1,73.1400,81.6000,0.000003
FILLER_0_26_137,VGND,li1,69.2300,81.6000,0.000003
FILLER_0_26_125,VGND,li1,65.7800,81.6000,0.000003
FILLER_0_26_113,VGND,li1,60.2600,81.6000,0.000003
FILLER_0_26_109,VGND,li1,56.3500,81.6000,0.000003
FILLER_0_26_97,VGND,li1,52.9000,81.6000,0.000003
FILLER_0_26_85,VGND,li1,47.3800,81.6000,0.000003
FILLER_0_26_81,VGND,li1,43.4700,81.6000,0.000003
FILLER_0_26_69,VGND,li1,40.0200,81.6000,0.000003
FILLER_0_26_57,VGND,li1,34.5000,81.6000,0.000003
FILLER_0_26_53,VGND,li1,30.5900,81.6000,0.000003
FILLER_0_26_41,VGND,li1,27.1400,81.6000,0.000002
FILLER_0_26_29,VGND,li1,21.6200,81.6000,0.000002
FILLER_0_26_25,VGND,li1,17.7100,81.6000,0.000001
FILLER_0_26_13,VGND,li1,14.2600,81.6000,0.000001
FILLER_0_25_157,VGND,li1,78.2000,81.6000,0.000003
FILLER_0_25_137,VGND,li1,71.3000,81.6000,0.000003
FILLER_0_25_125,VGND,li1,65.7800,81.6000,0.000003
FILLER_0_25_113,VGND,li1,60.2600,81.6000,0.000003
FILLER_0_25_104,VGND,li1,55.2000,81.6000,0.000003
FILLER_0_25_85,VGND,li1,45.3100,81.6000,0.000003
FILLER_0_25_81,VGND,li1,43.0100,81.6000,0.000003
FILLER_0_25_66,VGND,li1,36.1100,81.6000,0.000003
FILLER_0_25_60,VGND,li1,34.5000,81.6000,0.000003
FILLER_0_25_41,VGND,li1,24.6100,81.6000,0.000002
FILLER_0_25_30,VGND,li1,19.5500,81.6000,0.000002
FILLER_0_25_23,VGND,li1,16.3300,81.6000,0.000001
FILLER_0_25_17,VGND,li1,14.7200,81.6000,0.000001
FILLER_0_25_11,VGND,li1,11.2700,81.6000,0.000001
FILLER_0_25_3,VGND,li1,8.7400,81.6000,0.000001
FILLER_0_24_153,VGND,li1,76.5900,76.1600,0.000010
FILLER_0_24_141,VGND,li1,73.1400,76.1600,0.000010
FILLER_0_24_139,VGND,li1,69.6900,76.1600,0.000009
FILLER_0_24_133,VGND,li1,68.0800,76.1600,0.000009
FILLER_0_24_121,VGND,li1,63.9400,76.1600,0.000008
FILLER_0_24_109,VGND,li1,58.4200,76.1600,0.000008
FILLER_0_24_97,VGND,li1,52.9000,76.1600,0.000007
FILLER_0_24_85,VGND,li1,47.3800,76.1600,0.000006
FILLER_0_24_82,VGND,li1,43.7000,76.1600,0.000006
FILLER_0_24_74,VGND,li1,41.4000,76.1600,0.000006
FILLER_0_24_56,VGND,li1,31.5100,76.1600,0.000004
FILLER_0_24_45,VGND,li1,27.1400,76.1600,0.000004
FILLER_0_24_33,VGND,li1,23.4600,76.1600,0.000003
FILLER_0_24_29,VGND,li1,19.0900,76.1600,0.000002
FILLER_0_24_25,VGND,li1,17.7100,76.1600,0.000002
FILLER_0_24_13,VGND,li1,14.2600,76.1600,0.000002
FILLER_0_23_157,VGND,li1,78.2000,76.1600,0.000010
FILLER_0_23_149,VGND,li1,75.9000,76.1600,0.000010
FILLER_0_23_137,VGND,li1,71.3000,76.1600,0.000009
FILLER_0_23_125,VGND,li1,65.7800,76.1600,0.000009
FILLER_0_23_113,VGND,li1,60.2600,76.1600,0.000008
FILLER_0_23_109,VGND,li1,56.3500,76.1600,0.000007
FILLER_0_23_74,VGND,li1,40.2500,76.1600,0.000006
FILLER_0_23_66,VGND,li1,37.7200,76.1600,0.000005
FILLER_0_23_57,VGND,li1,32.2000,76.1600,0.000004
FILLER_0_23_44,VGND,li1,28.5200,76.1600,0.000004
FILLER_0_23_32,VGND,li1,23.0000,76.1600,0.000003
FILLER_0_23_23,VGND,li1,16.5600,76.1600,0.000002
FILLER_0_23_15,VGND,li1,14.2600,76.1600,0.000002
FILLER_0_22_153,VGND,li1,76.5900,70.7200,0.000023
FILLER_0_22_141,VGND,li1,73.1400,70.7200,0.000022
FILLER_0_22_128,VGND,li1,67.1600,70.7200,0.000021
FILLER_0_22_116,VGND,li1,61.6400,70.7200,0.000021
FILLER_0_22_104,VGND,li1,56.1200,70.7200,0.000020
FILLER_0_22_85,VGND,li1,47.3800,70.7200,0.000019
FILLER_0_22_83,VGND,li1,43.9300,70.7200,0.000019
FILLER_0_22_75,VGND,li1,41.8600,70.7200,0.000018
FILLER_0_22_63,VGND,li1,37.2600,70.7200,0.000018
FILLER_0_22_47,VGND,li1,29.9000,70.7200,0.000016
FILLER_0_22_40,VGND,li1,24.1500,70.7200,0.000013
FILLER_0_22_36,VGND,li1,23.0000,70.7200,0.000013
FILLER_0_22_24,VGND,li1,17.4800,70.7200,0.000010
FILLER_0_22_19,VGND,li1,14.4900,70.7200,0.000009
FILLER_0_22_15,VGND,li1,13.3400,70.7200,0.000009
FILLER_0_22_6,VGND,li1,8.7400,70.7200,0.000009
FILLER_0_21_157,VGND,li1,78.2000,70.7200,0.000023
FILLER_0_21_149,VGND,li1,75.9000,70.7200,0.000023
FILLER_0_21_137,VGND,li1,71.3000,70.7200,0.000022
FILLER_0_21_125,VGND,li1,65.7800,70.7200,0.000021
FILLER_0_21_113,VGND,li1,60.2600,70.7200,0.000021
FILLER_0_21_109,VGND,li1,56.3500,70.7200,0.000020
FILLER_0_21_97,VGND,li1,52.9000,70.7200,0.000020
FILLER_0_21_85,VGND,li1,47.3800,70.7200,0.000019
FILLER_0_21_77,VGND,li1,41.1700,70.7200,0.000018
FILLER_0_21_65,VGND,li1,38.1800,70.7200,0.000018
FILLER_0_21_57,VGND,li1,31.9700,70.7200,0.000017
FILLER_0_21_54,VGND,li1,30.8200,70.7200,0.000017
FILLER_0_21_37,VGND,li1,23.4600,70.7200,0.000013
FILLER_0_21_25,VGND,li1,19.7800,70.7200,0.000011
FILLER_0_21_18,VGND,li1,14.0300,70.7200,0.000009
FILLER_0_21_10,VGND,li1,11.9600,70.7200,0.000009
FILLER_0_21_3,VGND,li1,7.1300,70.7200,0.000009
FILLER_0_20_153,VGND,li1,76.5900,65.2800,0.000220
FILLER_0_20_141,VGND,li1,73.1400,65.2800,0.000219
FILLER_0_20_137,VGND,li1,69.2300,65.2800,0.000213
FILLER_0_20_125,VGND,li1,65.7800,65.2800,0.000211
FILLER_0_20_113,VGND,li1,60.2600,65.2800,0.000202
FILLER_0_20_97,VGND,li1,50.6000,65.2800,0.000175
FILLER_0_20_85,VGND,li1,45.0800,65.2800,0.000160
FILLER_0_20_72,VGND,li1,39.3300,65.2800,0.000146
FILLER_0_20_64,VGND,li1,35.1900,65.2800,0.000126
FILLER_0_20_58,VGND,li1,33.5800,65.2800,0.000126
FILLER_0_20_43,VGND,li1,28.0600,65.2800,0.000106
FILLER_0_20_35,VGND,li1,21.8500,65.2800,0.000075
FILLER_0_20_29,VGND,li1,20.2400,65.2800,0.000075
FILLER_0_20_25,VGND,li1,17.7100,65.2800,0.000064
FILLER_0_20_14,VGND,li1,12.6500,65.2800,0.000053
FILLER_0_20_6,VGND,li1,10.1200,65.2800,0.000053
FILLER_0_19_156,VGND,li1,77.9700,65.2800,0.000220
FILLER_0_19_134,VGND,li1,67.6200,65.2800,0.000213
FILLER_0_19_113,VGND,li1,57.7300,65.2800,0.000196
FILLER_0_19_111,VGND,li1,56.8100,65.2800,0.000191
FILLER_0_19_107,VGND,li1,55.6600,65.2800,0.000191
FILLER_0_19_97,VGND,li1,50.6000,65.2800,0.000175
FILLER_0_19_85,VGND,li1,47.3800,65.2800,0.000169
FILLER_0_19_76,VGND,li1,41.4000,65.2800,0.000154
FILLER_0_19_69,VGND,li1,37.4900,65.2800,0.000139
FILLER_0_19_57,VGND,li1,34.5000,65.2800,0.000126
FILLER_0_19_53,VGND,li1,30.5900,65.2800,0.000116
FILLER_0_19_27,VGND,li1,18.6300,65.2800,0.000064
FILLER_0_19_3,VGND,li1,9.6600,65.2800,0.000053
FILLER_0_18_153,VGND,li1,76.5900,59.8400,0.000164
FILLER_0_18_141,VGND,li1,73.1400,59.8400,0.000164
FILLER_0_18_130,VGND,li1,65.7800,59.8400,0.000155
FILLER_0_18_118,VGND,li1,62.5600,59.8400,0.000151
FILLER_0_18_106,VGND,li1,57.0400,59.8400,0.000138
FILLER_0_18_97,VGND,li1,50.8300,59.8400,0.000123
FILLER_0_18_85,VGND,li1,47.3800,59.8400,0.000112
FILLER_0_18_83,VGND,li1,43.9300,59.8400,0.000105
FILLER_0_18_79,VGND,li1,42.7800,59.8400,0.000105
FILLER_0_18_67,VGND,li1,39.1000,59.8400,0.000097
FILLER_0_18_58,VGND,li1,32.6600,59.8400,0.000081
FILLER_0_18_54,VGND,li1,30.5900,59.8400,0.000076
FILLER_0_18_48,VGND,li1,28.9800,59.8400,0.000068
FILLER_0_18_41,VGND,li1,25.3000,59.8400,0.000062
FILLER_0_18_29,VGND,li1,21.6200,59.8400,0.000050
FILLER_0_18_26,VGND,li1,17.9400,59.8400,0.000041
FILLER_0_18_18,VGND,li1,15.6400,59.8400,0.000036
FILLER_0_18_6,VGND,li1,11.0400,59.8400,0.000040
FILLER_0_17_133,VGND,li1,68.0800,59.8400,0.000158
FILLER_0_17_111,VGND,li1,56.8100,59.8400,0.000138
FILLER_0_17_103,VGND,li1,54.7400,59.8400,0.000134
FILLER_0_17_91,VGND,li1,50.1400,59.8400,0.000123
FILLER_0_17_87,VGND,li1,45.7700,59.8400,0.000112
FILLER_0_17_81,VGND,li1,44.1600,59.8400,0.000105
FILLER_0_17_69,VGND,li1,40.0200,59.8400,0.000097
FILLER_0_17_57,VGND,li1,33.1200,59.8400,0.000081
FILLER_0_17_37,VGND,li1,23.0000,59.8400,0.000056
FILLER_0_17_29,VGND,li1,20.7000,59.8400,0.000050
