Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_26_141,VPWR,li1,73.1400,84.3200,1.800000
FILLER_0_26_137,VPWR,li1,69.2300,84.3200,1.800000
FILLER_0_26_125,VPWR,li1,65.7800,84.3200,1.800000
FILLER_0_26_113,VPWR,li1,60.2600,84.3200,1.800000
FILLER_0_26_109,VPWR,li1,56.3500,84.3200,1.800000
FILLER_0_26_97,VPWR,li1,52.9000,84.3200,1.800000
FILLER_0_26_85,VPWR,li1,47.3800,84.3200,1.800000
FILLER_0_26_81,VPWR,li1,43.4700,84.3200,1.800000
FILLER_0_26_69,VPWR,li1,40.0200,84.3200,1.800000
FILLER_0_26_57,VPWR,li1,34.5000,84.3200,1.800000
FILLER_0_26_53,VPWR,li1,30.5900,84.3200,1.800000
FILLER_0_26_41,VPWR,li1,27.1400,84.3200,1.800000
FILLER_0_26_29,VPWR,li1,21.6200,84.3200,1.800000
FILLER_0_26_25,VPWR,li1,17.7100,84.3200,1.800000
FILLER_0_26_13,VPWR,li1,14.2600,84.3200,1.800000
FILLER_0_25_157,VPWR,li1,78.2000,78.8800,1.799988
FILLER_0_25_137,VPWR,li1,71.3000,78.8800,1.799989
FILLER_0_25_125,VPWR,li1,65.7800,78.8800,1.799989
FILLER_0_25_113,VPWR,li1,60.2600,78.8800,1.799990
FILLER_0_25_104,VPWR,li1,55.2000,78.8800,1.799991
FILLER_0_25_85,VPWR,li1,45.3100,78.8800,1.799992
FILLER_0_25_81,VPWR,li1,43.0100,78.8800,1.799992
FILLER_0_25_66,VPWR,li1,36.1100,78.8800,1.799993
FILLER_0_25_60,VPWR,li1,34.5000,78.8800,1.799993
FILLER_0_25_41,VPWR,li1,24.6100,78.8800,1.799995
FILLER_0_25_30,VPWR,li1,19.5500,78.8800,1.799996
FILLER_0_25_23,VPWR,li1,16.3300,78.8800,1.799997
FILLER_0_25_17,VPWR,li1,14.7200,78.8800,1.799997
FILLER_0_25_11,VPWR,li1,11.2700,78.8800,1.799998
FILLER_0_25_3,VPWR,li1,8.7400,78.8800,1.799998
FILLER_0_24_153,VPWR,li1,76.5900,78.8800,1.799988
FILLER_0_24_141,VPWR,li1,73.1400,78.8800,1.799989
FILLER_0_24_139,VPWR,li1,69.6900,78.8800,1.799989
FILLER_0_24_133,VPWR,li1,68.0800,78.8800,1.799989
FILLER_0_24_121,VPWR,li1,63.9400,78.8800,1.799990
FILLER_0_24_109,VPWR,li1,58.4200,78.8800,1.799990
FILLER_0_24_97,VPWR,li1,52.9000,78.8800,1.799991
FILLER_0_24_85,VPWR,li1,47.3800,78.8800,1.799992
FILLER_0_24_82,VPWR,li1,43.7000,78.8800,1.799992
FILLER_0_24_74,VPWR,li1,41.4000,78.8800,1.799993
FILLER_0_24_56,VPWR,li1,31.5100,78.8800,1.799994
FILLER_0_24_45,VPWR,li1,27.1400,78.8800,1.799994
FILLER_0_24_33,VPWR,li1,23.4600,78.8800,1.799996
FILLER_0_24_29,VPWR,li1,19.0900,78.8800,1.799996
FILLER_0_24_25,VPWR,li1,17.7100,78.8800,1.799997
FILLER_0_24_13,VPWR,li1,14.2600,78.8800,1.799997
FILLER_0_23_157,VPWR,li1,78.2000,73.4400,1.799983
FILLER_0_23_149,VPWR,li1,75.9000,73.4400,1.799983
FILLER_0_23_137,VPWR,li1,71.3000,73.4400,1.799984
FILLER_0_23_125,VPWR,li1,65.7800,73.4400,1.799984
FILLER_0_23_113,VPWR,li1,60.2600,73.4400,1.799985
FILLER_0_23_109,VPWR,li1,56.3500,73.4400,1.799985
FILLER_0_23_74,VPWR,li1,40.2500,73.4400,1.799987
FILLER_0_23_66,VPWR,li1,37.7200,73.4400,1.799988
FILLER_0_23_57,VPWR,li1,32.2000,73.4400,1.799989
FILLER_0_23_44,VPWR,li1,28.5200,73.4400,1.799990
FILLER_0_23_32,VPWR,li1,23.0000,73.4400,1.799992
FILLER_0_23_23,VPWR,li1,16.5600,73.4400,1.799994
FILLER_0_23_15,VPWR,li1,14.2600,73.4400,1.799995
FILLER_0_22_153,VPWR,li1,76.5900,73.4400,1.799983
FILLER_0_22_141,VPWR,li1,73.1400,73.4400,1.799983
FILLER_0_22_128,VPWR,li1,67.1600,73.4400,1.799984
FILLER_0_22_116,VPWR,li1,61.6400,73.4400,1.799985
FILLER_0_22_104,VPWR,li1,56.1200,73.4400,1.799985
FILLER_0_22_85,VPWR,li1,47.3800,73.4400,1.799986
FILLER_0_22_83,VPWR,li1,43.9300,73.4400,1.799987
FILLER_0_22_75,VPWR,li1,41.8600,73.4400,1.799987
FILLER_0_22_63,VPWR,li1,37.2600,73.4400,1.799988
FILLER_0_22_47,VPWR,li1,29.9000,73.4400,1.799990
FILLER_0_22_40,VPWR,li1,24.1500,73.4400,1.799992
FILLER_0_22_36,VPWR,li1,23.0000,73.4400,1.799992
FILLER_0_22_24,VPWR,li1,17.4800,73.4400,1.799994
FILLER_0_22_19,VPWR,li1,14.4900,73.4400,1.799995
FILLER_0_22_15,VPWR,li1,13.3400,73.4400,1.799996
FILLER_0_22_6,VPWR,li1,8.7400,73.4400,1.799996
FILLER_0_21_157,VPWR,li1,78.2000,68.0000,1.799927
FILLER_0_21_149,VPWR,li1,75.9000,68.0000,1.799928
FILLER_0_21_137,VPWR,li1,71.3000,68.0000,1.799928
FILLER_0_21_125,VPWR,li1,65.7800,68.0000,1.799929
FILLER_0_21_113,VPWR,li1,60.2600,68.0000,1.799930
FILLER_0_21_109,VPWR,li1,56.3500,68.0000,1.799930
FILLER_0_21_97,VPWR,li1,52.9000,68.0000,1.799931
FILLER_0_21_85,VPWR,li1,47.3800,68.0000,1.799932
FILLER_0_21_77,VPWR,li1,41.1700,68.0000,1.799935
FILLER_0_21_65,VPWR,li1,38.1800,68.0000,1.799939
FILLER_0_21_57,VPWR,li1,31.9700,68.0000,1.799946
FILLER_0_21_54,VPWR,li1,30.8200,68.0000,1.799946
FILLER_0_21_37,VPWR,li1,23.4600,68.0000,1.799958
FILLER_0_21_25,VPWR,li1,19.7800,68.0000,1.799962
FILLER_0_21_18,VPWR,li1,14.0300,68.0000,1.799972
FILLER_0_21_10,VPWR,li1,11.9600,68.0000,1.799977
FILLER_0_21_3,VPWR,li1,7.1300,68.0000,1.799977
FILLER_0_20_153,VPWR,li1,76.5900,68.0000,1.799928
FILLER_0_20_141,VPWR,li1,73.1400,68.0000,1.799928
FILLER_0_20_137,VPWR,li1,69.2300,68.0000,1.799929
FILLER_0_20_125,VPWR,li1,65.7800,68.0000,1.799929
FILLER_0_20_113,VPWR,li1,60.2600,68.0000,1.799930
FILLER_0_20_97,VPWR,li1,50.6000,68.0000,1.799931
FILLER_0_20_85,VPWR,li1,45.0800,68.0000,1.799933
FILLER_0_20_72,VPWR,li1,39.3300,68.0000,1.799937
FILLER_0_20_64,VPWR,li1,35.1900,68.0000,1.799943
FILLER_0_20_58,VPWR,li1,33.5800,68.0000,1.799943
FILLER_0_20_43,VPWR,li1,28.0600,68.0000,1.799949
FILLER_0_20_35,VPWR,li1,21.8500,68.0000,1.799958
FILLER_0_20_29,VPWR,li1,20.2400,68.0000,1.799962
FILLER_0_20_25,VPWR,li1,17.7100,68.0000,1.799966
FILLER_0_20_14,VPWR,li1,12.6500,68.0000,1.799977
FILLER_0_20_6,VPWR,li1,10.1200,68.0000,1.799977
FILLER_0_19_156,VPWR,li1,77.9700,62.5600,1.799798
FILLER_0_19_134,VPWR,li1,67.6200,62.5600,1.799804
FILLER_0_19_113,VPWR,li1,57.7300,62.5600,1.799824
FILLER_0_19_111,VPWR,li1,56.8100,62.5600,1.799830
FILLER_0_19_107,VPWR,li1,55.6600,62.5600,1.799830
FILLER_0_19_97,VPWR,li1,50.6000,62.5600,1.799843
FILLER_0_19_85,VPWR,li1,47.3800,62.5600,1.799852
FILLER_0_19_76,VPWR,li1,41.4000,62.5600,1.799868
FILLER_0_19_69,VPWR,li1,37.4900,62.5600,1.799879
FILLER_0_19_57,VPWR,li1,34.5000,62.5600,1.799887
FILLER_0_19_53,VPWR,li1,30.5900,62.5600,1.799903
FILLER_0_19_27,VPWR,li1,18.6300,62.5600,1.799940
FILLER_0_19_3,VPWR,li1,9.6600,62.5600,1.799960
FILLER_0_18_153,VPWR,li1,76.5900,62.5600,1.799798
FILLER_0_18_141,VPWR,li1,73.1400,62.5600,1.799798
FILLER_0_18_130,VPWR,li1,65.7800,62.5600,1.799807
FILLER_0_18_118,VPWR,li1,62.5600,62.5600,1.799811
FILLER_0_18_106,VPWR,li1,57.0400,62.5600,1.799830
FILLER_0_18_97,VPWR,li1,50.8300,62.5600,1.799843
FILLER_0_18_85,VPWR,li1,47.3800,62.5600,1.799852
FILLER_0_18_83,VPWR,li1,43.9300,62.5600,1.799863
FILLER_0_18_79,VPWR,li1,42.7800,62.5600,1.799868
FILLER_0_18_67,VPWR,li1,39.1000,62.5600,1.799879
FILLER_0_18_58,VPWR,li1,32.6600,62.5600,1.799896
FILLER_0_18_54,VPWR,li1,30.5900,62.5600,1.799903
FILLER_0_18_48,VPWR,li1,28.9800,62.5600,1.799903
FILLER_0_18_41,VPWR,li1,25.3000,62.5600,1.799917
FILLER_0_18_29,VPWR,li1,21.6200,62.5600,1.799928
FILLER_0_18_26,VPWR,li1,17.9400,62.5600,1.799940
FILLER_0_18_18,VPWR,li1,15.6400,62.5600,1.799948
FILLER_0_18_6,VPWR,li1,11.0400,62.5600,1.799960
FILLER_0_17_133,VPWR,li1,68.0800,57.1200,1.799776
FILLER_0_17_111,VPWR,li1,56.8100,57.1200,1.799800
FILLER_0_17_103,VPWR,li1,54.7400,57.1200,1.799806
FILLER_0_17_91,VPWR,li1,50.1400,57.1200,1.799818
FILLER_0_17_87,VPWR,li1,45.7700,57.1200,1.799837
FILLER_0_17_81,VPWR,li1,44.1600,57.1200,1.799844
FILLER_0_17_69,VPWR,li1,40.0200,57.1200,1.799852
FILLER_0_17_57,VPWR,li1,33.1200,57.1200,1.799876
FILLER_0_17_37,VPWR,li1,23.0000,57.1200,1.799912
FILLER_0_17_29,VPWR,li1,20.7000,57.1200,1.799920
FILLER_0_16_155,VPWR,li1,77.0500,57.1200,1.799766
FILLER_0_16_149,VPWR,li1,75.4400,57.1200,1.799767
FILLER_0_16_139,VPWR,li1,69.6900,57.1200,1.799776
FILLER_0_16_133,VPWR,li1,68.0800,57.1200,1.799776
FILLER_0_16_121,VPWR,li1,63.9400,57.1200,1.799782
FILLER_0_16_109,VPWR,li1,58.4200,57.1200,1.799800
FILLER_0_16_85,VPWR,li1,45.5400,57.1200,1.799837
FILLER_0_16_75,VPWR,li1,40.4800,57.1200,1.799852
FILLER_0_16_67,VPWR,li1,38.1800,57.1200,1.799858
FILLER_0_16_48,VPWR,li1,30.3600,57.1200,1.799885
FILLER_0_16_41,VPWR,li1,25.0700,57.1200,1.799904
FILLER_0_16_29,VPWR,li1,21.6200,57.1200,1.799920
FILLER_0_16_25,VPWR,li1,17.7100,57.1200,1.799931
FILLER_0_16_12,VPWR,li1,11.2700,57.1200,1.799954
FILLER_0_16_6,VPWR,li1,9.6600,57.1200,1.799954
FILLER_0_15_137,VPWR,li1,69.0000,51.6800,1.799790
FILLER_0_15_121,VPWR,li1,62.5600,51.6800,1.799798
FILLER_0_15_104,VPWR,li1,55.2000,51.6800,1.799807
FILLER_0_15_92,VPWR,li1,50.6000,51.6800,1.799815
FILLER_0_15_80,VPWR,li1,45.0800,51.6800,1.799824
FILLER_0_15_67,VPWR,li1,37.7200,51.6800,1.799839
FILLER_0_15_63,VPWR,li1,34.7300,51.6800,1.799849
FILLER_0_15_57,VPWR,li1,33.1200,51.6800,1.799849
FILLER_0_15_54,VPWR,li1,30.8200,51.6800,1.799854
FILLER_0_15_46,VPWR,li1,28.5200,51.6800,1.799859
FILLER_0_15_35,VPWR,li1,22.5400,51.6800,1.799888
FILLER_0_15_6,VPWR,li1,11.0400,51.6800,1.799942
FILLER_0_14_157,VPWR,li1,78.2000,51.6800,1.799785
FILLER_0_14_136,VPWR,li1,69.0000,51.6800,1.799790
FILLER_0_14_125,VPWR,li1,63.2500,51.6800,1.799798
FILLER_0_14_68,VPWR,li1,38.1800,51.6800,1.799839
FILLER_0_14_34,VPWR,li1,23.0000,51.6800,1.799888
FILLER_0_14_27,VPWR,li1,18.1700,51.6800,1.799915
